################################################;;;;;;;;;;;;;;x
# Event titles/descriptions;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
navy_models_title;Naval Models;;;;;;;;;;;x
navy_models_desc;Fire this decision to view information about your nation's ships in the mod.  At the moment only the majors' and Norway's ships are done.;;;;;;;;;;;x
navalmodelsmain;This event will allow you to view your nation's naval models and what techs are required for each ship.;;;;;;;;;;;x
############################ Carriers ############################;;;;;;;;;;;;;;x
ger_grafzeppelininfo_desc;Graf Zeppelin-Class, Carrier IX\n\nLaunched on Dec. 8, 1938, the KMS Graf Zeppelin was the Kriegsmarine's first and only aircraft carrier.  The ship is a modification of the IJN Akagi, and was never completed.  It was the first of 6 carriers planned to be built as part of Build Plan III and the first of 4 as part of Plan Z.  A second carrier of this class was laid down but never launched, and was potentially to be named the Peter Strasser.\n\nTechs needed:\nConstruction material: 6\nEngine: 9\nDeck Armor: 4\nDestroyer MP Gun: 7;;;;;;;;;;;;x
ger_europainfo_desc;Europa-Class, Carrier X\n\nThe Europa was originally a merchant ship and was taken over by the Kriegsmarine in 1939 for use as a transport ship for Operation Sealion.  In 1942 plans were made to convert the transport to a carrier, but the design proved to have serious stability problems and was abandoned.\n\nTechs needed:\nConstruction material: 7\nEngine: 4\nDeck Armor: 0\nDestroyer MP Gun: 7;;;;;;;;;;;;x
ger_carriera1info_desc;Flugzeugträger A-I-Class, Carrier XI\n\nThis carrier design was completed for the sole purpose of keeping the Kriegsmarine's naval architects from being sent to the Eastern Front.  Very few details exist about the background of this never-built ship, though the design itself survived the war.\n\nTechs needed:\nConstruction material: 7\nEngine: 9\nDeck Armor: 4\nDestroyer MP Gun: 7;;;;;;;;;;;;x
############################ Light Carriers ############################;;;;;;;;;;;;;;x
ger_ausoniainfo_desc;Ausonia-Class, Light Carrier II\n\nLaunched on April 15, 1915 in Hamburg as an Italian passenger ship, Italy's entry in WW1 saw the ship be confiscated by Germany.  Plans were immediately drawn up to convert the incomplete ship to be an aircraft carrier due to be commissioned by 1918, but the course of the war did not allow the conversion to be completed.\n\nTechs needed:\nConstruction material: 1\nEngine: 0\nCruiser Armor: 0\nDestroyer MP Gun: 0;;;;;;;;;;;;x
ger_smallcarrierinfo_desc;Kleiner Flugzeugträger-Class, Light Carrier IX\n\nThis ship came from a design study in 1937 to determine the usefullness of small carrier capable of fielding about 15 planes.  No ships were ordered and no construction started.\n\nTechs needed:\nConstruction material: 6\nCruiser Engine: 5\nCruiser Armor: 0\nDestroyer MP Gun: 7;;;;;;;;;;;;x
ger_seydlitzinfo_desc;Seydlitz-Class, Light Carrier X\n\nAfter the sinking of the Bismarck in 1941, the Hipper-class heavy cruiser Seydlidtz was chosen for conversion to an aircraft carrier as part of a larger program to expand Germany's naval aviation capacity.  The ship was renamed Weser and all construction halted in 1943.\n\nTechs needed:\nConstruction material: 7\nCruiser Engine: 8\nCruiser Armor: 1\nDestroyer MP Gun: 7;;;;;;;;;;;;x
ger_jadeinfo_desc;Jade-Class, Light Carrier XI\n\nGermany's carrier conversion program of 1942, which saw work continue on the Graf Zeppelin and the conversion of the heavy cruiser Seydlitz, also saw the conversion of the merchant ships Jade, Scharnhorst, Gneisenau, Elbe, Weser, and Potsdam.  This class represents the 6 merchant ship conversions.  All construction work was halted in 1943.\n\nTechs needed:\nConstruction material: 7\nEngine: 2\nCruiser Armor: 0\nDestroyer MP Gun: 7;;;;;;;;;;;;x
ger_degrasseinfo_desc;De Grasse-Class, Light Carrier XII\n\nGermany's carrier conversion program of 1942, which saw work continue on the Graf Zeppelin and the conversion of the heavy cruiser Seydlitz, also saw the conversion of 6 merchant ships and the captured French cruiser De Grasse.  All construction work was halted in 1943.\n\nTechs needed:\nConstruction material: 7\nEngine: 5\nCruiser Armor: 5\nDestroyer MP Gun: 7;;;;;;;;;;;;x
############################ Battleships ############################;;;;;;;;;;;;;;x
ger_deutschlandBBinfo_desc;Deutschland-Class, Battleship I\n\nConsisting of 5 ships, the Deutschland-class pre-dreadnought battleships served in both world wars.  After the Treaty of Versailles, Germany was allowed to retain the four surviving ships of the class, two of which remain in 1936.  The Schleswig-Holstein historically fired the first shots of WW2.\n\nTechs needed:\nConstruction material: 1\nEngine: 0\nCapital Armor: 1\nDestroyer MP Gun: 1\nMain Guns: 0\nFast Battleship: No;;;;;;;;;;;;x
ger_bayerninfo_desc;Bayern-Class, Battleship II\n\nFirst commissioned in 1916, the Bayern-class originally was supposed to be comprised of 4 ships, but only 2 were completed and both were scuttled at Scapa Flow.  These were the most modern of Imperial Germany's battleships and the last battleships completed prior to the Scharnhorst.\n\nTechs needed:\nConstruction material: 1\nEngine: 1\nCapital Armor: 4\nDestroyer MP Gun: 1\nMain Guns: 4\nFast Battleship: No;;;;;;;;;;;;x
ger_l20info_desc;L 20-Class, Battleship III\n\nThe L 20 class was intended to replace the losses suffered at the Battle of Jutland.  This class was designed to be built quickly, and lacked anti-torpedo defense since adding such armor was a time-consuming process.  Due to the priority of the navy going to submarines, these ships were never completed.\n\nTechs needed:\nConstruction material: 2\nEngine: 6\nCapital Armor: 4\nDestroyer MP Gun: 1\nMain Guns: 7\nFast Battleship: No;;;;;;;;;;;;x
ger_deutschlandBBModinfo_desc;Deutschland-Class (Modernized), Battleship VIII\n\nThis is a hypothetical class to cover the case of Germany deciding to reconstruct its aging pre-dreadnought battleships still in service.  Historically the Bismarck and Tirpitz replaced the two Deutschlands.\n\nTechs needed:\nConstruction material: 6\nEngine: 1\nCapital Armor: 1\nDestroyer MP Gun: 7\nMain Guns: 0\nFast Battleship: No;;;;;;;;;;;;x
ger_bismarckinfo_desc;Bismarck-Class, Battleship IX\n\nThe Bismarck was launched on February 14, 1939 as a replacement for the battleship Hannover, with its sister ship Tirpitz being launched on April 1, 1939 as a replacement for the Schleswig-Holstein.  Both ships were intended to counter the new French battleships of the Dunkerque and Richeliu classes, but ended up performing convoy raiding duty.  The Bismarck was sunk by aircraft while at sea and the Tirpitz was sunk in port, having spent most of the war in Norway.\n\nTechs needed:\nConstruction material: 6\nEngine: 8\nCapital Armor: 3\nDestroyer MP Gun: 7\nMain Guns: 5\nFast Battleship: Yes;;;;;;;;;;;;x
