##################################################;;;;;;;;;;;;;;x
# Regions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
tunisia_region;Tunisia;Tunisia;Tunisia;Tunisia;Tunisia;;;;;;;;;;;;;;x
algiers_region;Algiers;Algiers;Algiers;Algiers;Algiers;;;;;;;;;;;;;;x
bone_region;Bône;Bône;Bône;Bône;Bône;;;;;;;;;;;;;;x
batna_region;Batna;Batna;Batna;Batna;Batna;;;;;;;;;;;;;;x
constantine_region;Constantine;Constantine;Constantine;Constantine;Constantine;;;;;;;;;;;;;;x
orleansville_region;Orléansville;Orléansville;Orléansville;Orléansville;Orléansville;;;;;;;;;;;;;;x
algeria_oasis_region;Oasis;Oasis;Oasis;Oasis;Oasis;;;;;;;;;;;;;;x
medea_region;Médéa;Médéa;Médéa;Médéa;Médéa;;;;;;;;;;;;;;x
mostaganem_region;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;;;;;;;;;;;;;;x
oran_region;Oran;Oran;Oran;Oran;Oran;;;;;;;;;;;;;;x
saida_region;Saïda;Saïda;Saïda;Saïda;Saïda;;;;;;;;;;;;;;x
saoura_region;Saoura;Saoura;Saoura;Saoura;Saoura;;;;;;;;;;;;;;x
setif_region;Sétif;Sétif;Sétif;Sétif;Sétif;;;;;;;;;;;;;;x
tiaret_region;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;;;;;;;;;;;;;;x
tizi_ouzou_region;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;;;;;;;;;;;;;;x
tlemcen_region;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;;;;;;;;;;;;;;x
alsace_region;Alsace;Lorraine;Lorraine;Lorraine;Lorraine;;;;;;;;;;;;;;x
lorraine_region;Lorraine;Lorraine;Lorraine;Lorraine;Lorraine;;;;;;;;;;;;;;x
franche_comte_region;Franche-Comte;Franche-Comte;Franche-Comte;Franche-Comte;Franche-Comte;;;;;;;;;;;;;;x
champagne_ardenne_region;Champagne-Ardenne;Champagne-Ardenne;Champagne-Ardenne;Champagne-Ardenne;Champagne-Ardenne;;;;;;;;;;;;;;x
nord_pas_de_calais_region;Nord-Pas-de-Calais;Nord-Pas-de-Calais;Nord-Pas-de-Calais;Nord-Pas-de-Calais;Nord-Pas-de-Calais;;;;;;;;;;;;;;x
picardie_region;Picardie;Picardie;Picardie;Picardie;Picardie;;;;;;;;;;;;;;x
haute_normandie_region;Haute-Normandie;Haute-Normandie;Haute-Normandie;Haute-Normandie;Haute-Normandie;;;;;;;;;;;;;;x
basse_normandie_region;Basse-Normandie;Basse-Normandie;Basse-Normandie;Basse-Normandie;Basse-Normandie;;;;;;;;;;;;;;x
bretagne_region;Bretagne;Pays del la Loire;Pays del la Loire;Pays del la Loire;Pays del la Loire;;;;;;;;;;;;;;x
pays_de_la_loire_region;Pays del la Loire;Pays del la Loire;Pays del la Loire;Pays del la Loire;Pays del la Loire;;;;;;;;;;;;;;x
ile_de_france_region;Ile-de-France;Ile-de-France;Ile-de-France;Ile-de-France;Ile-de-France;;;;;;;;;;;;;;x
centre_region;Centre;Centre;Centre;Centre;Centre;;;;;;;;;;;;;;x
bourgogne_region;Bourgogne;Bourgogne;Bourgogne;Bourgogne;Bourgogne;;;;;;;;;;;;;;x
poitou_charentes_region;Poitou-Charentes;Poitou-Charentes;Poitou-Charentes;Poitou-Charentes;Poitou-Charentes;;;;;;;;;;;;;;x
aquitaine_region;Aquitaine;Aquitaine;Aquitaine;Aquitaine;Aquitaine;;;;;;;;;;;;;;x
midi_pyrenees_region;Midi-Pyrenees;Midi-Pyrenees;Midi-Pyrenees;Midi-Pyrenees;Midi-Pyrenees;;;;;;;;;;;;;;x
limousin_region;Limousin;Limousin;Limousin;Limousin;Limousin;;;;;;;;;;;;;;x
auvergne_region;Auvergne;Auvergne;Auvergne;Auvergne;Auvergne;;;;;;;;;;;;;;x
rhone_alpes_region;Rhone-Alpes;Rhone-Alpes;Rhone-Alpes;Rhone-Alpes;Rhone-Alpes;;;;;;;;;;;;;;x
langeudoc_roussillon_region;Languedoc-Roussillon;Languedoc-Roussillon;Languedoc-Roussillon;Languedoc-Roussillon;Languedoc-Roussillon;;;;;;;;;;;;;;x
provence_alpes_cotedazur_region;Provence-Alpes-Cote d'Azur;Provence-Alpes-Cote d'Azur;Provence-Alpes-Cote d'Azur;Provence-Alpes-Cote d'Azur;Provence-Alpes-Cote d'Azur;;;;;;;;;;;;;;x
corse_region;Corse;Corse;Corse;Corse;Corse;;;;;;;;;;;;;;x
bialostockie_region;Bialostockie;Bialostockie;Bialostockie;Bialostockie;Bialostockie;;;;;;;;;;;;;;x
kieleckie_region;Kieleckie;Kieleckie;Kieleckie;Kieleckie;Kieleckie;;;;;;;;;;;;;;x
krakowskie_region;Krakowskie;Krakowskie;Krakowskie;Krakowskie;Krakowskie;;;;;;;;;;;;;;x
lubelskie_region;Lubelskie;Lubelskie;Lubelskie;Lubelskie;Lubelskie;;;;;;;;;;;;;;x
lwowskie_region;Lwowskie;Lwowskie;Lwowskie;Lwowskie;Lwowskie;;;;;;;;;;;;;;x
lodzkie_region;Lodzkie;Lodzkie;Lodzkie;Lodzkie;Lodzkie;;;;;;;;;;;;;;x
nowogrodzkie_region;Nowogrodzkie;Nowogrodzkie;Nowogrodzkie;Nowogrodzkie;Nowogrodzkie;;;;;;;;;;;;;;x
poleskie_region;Poleskie;Poleskie;Poleskie;Poleskie;Poleskie;;;;;;;;;;;;;;x
pomorskie_region;Pomorskie;Pomorskie;Pomorskie;Pomorskie;Pomorskie;;;;;;;;;;;;;;x
poznanskie_region;Poznanskie;Poznanskie;Poznanskie;Poznanskie;Poznanskie;;;;;;;;;;;;;;x
stanislawowskie_region;Stanislawowskie;Stanislawowskie;Stanislawowskie;Stanislawowskie;Stanislawowskie;;;;;;;;;;;;;;x
slaskie_region;Slaskie;Slaskie;Slaskie;Slaskie;Slaskie;;;;;;;;;;;;;;x
tarnopolskie_region;Tarnopolskie;Tarnopolskie;Tarnopolskie;Tarnopolskie;Tarnopolskie;;;;;;;;;;;;;;x
warszawskie_region;Warszawskie;Warszawskie;Warszawskie;Warszawskie;Warszawskie;;;;;;;;;;;;;;x
wilenskie_region;Wilenskie;Wilenskie;Wilenskie;Wilenskie;Wilenskie;;;;;;;;;;;;;;x
wolynskie_region;Wolynskie;Wolynskie;Wolynskie;Wolynskie;Wolynskie;;;;;;;;;;;;;;x
bohemia_region;Cechy;Cechy;Cechy;Cechy;Cechy;;;;;;;;;;;;;;x
moravia_region;Morava;Morava;Morava;Morava;Morava;;;;;;;;;;;;;;x
gronningen_region;Groningen;Groningen;Groningen;Groningen;Groningen;;;;;;;;;;;;;;x
friesland_region;Friesland;Friesland;Friesland;Friesland;Friesland;;;;;;;;;;;;;;x
