MODEL_TAG;Model;Modèle;Model;;Modelo;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
AFG_super_heavy_armor_brigade_0;Renault FT 17;;;;;;;;;;;;;x
AFG_super_heavy_armor_brigade_1;T-26 Model 1933;;;;;;;;;;;;;x
AFG_super_heavy_armor_brigade_4;SU-76 Suka Model 1942;;;;;;;;;;;;;x
AFG_light_armor_brigade_1;Fiat-Ansaldo L3/33;;;;;;;;;;;;;x
AFG_light_armor_brigade_2;Fiat-Ansaldo L3/35;;;;;;;;;;;;;x
AFG_light_armor_brigade_3;ÈKD LT vz.35;;;;;;;;;;;;;x
AFG_light_armor_brigade_4;Basic Light Tank Brigade;;;;;;;;;;;;;x
AFG_light_armor_brigade_5;Early-War Light Tank Brigade;;;;;;;;;;;;;x
AFG_light_armor_brigade_6;Mid-War Light Tank Brigade;;;;;;;;;;;;;x
AFG_light_armor_brigade_7;Late-War Light Tank Brigade;;;;;;;;;;;;;x
AFG_light_armor_brigade_8;Post-War Light Tank Brigade;;;;;;;;;;;;;x
AFG_jet_mr_5;Mikoyan-Gurevich MiG-17 Fresco;;;;;;;;;;;;;x
AFG_jet_int_4;Mikoyan-Gurevich MiG-15 Fagot;;;;;;;;;;;;;x
AFG_jet_bomber_4;Ilyushin Il-28 Beagle;;;;;;;;;;;;;x
AFG_cas_0;Afghan Hind;;;;;;;;;;;;;x
AFG_cas_5;Avia B-33 Beast;;;;;;;;;;;;;x
AFG_transport_plane_1;Avro 652 Anson;;;;;;;;;;;;;x
AFG_transport_plane_11;Escorted Avro 652 Anson;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ALB_super_heavy_armor_brigade_0;Fiat L5/21;;;;;;;;;;;;;x
ALB_light_armor_brigade_1;Fiat-Ansaldo L3/33;;;;;;;;;;;;;x
ALB_jet_mr_5;Shenyang J-5 Fresco;;;;;;;;;;;;;x
ALB_interceptor_4;Yakovlev Yak-9;;;;;;;;;;;;;x
ALB_jet_int_4;Mikoyan-Gurevich MiG-15 Fagot;;;;;;;;;;;;;x
ALB_jet_bomber_4;Ilyushin Il-28 Beagle;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ALG_tank_destroyer_brigade_3;SU-85;;;;;;;;;;;;;x
ALG_tank_destroyer_brigade_4;SU-100;;;;;;;;;;;;;x
ALG_super_heavy_armor_brigade_5;ISU-122;;;;;;;;;;;;;x
ALG_super_heavy_armor_brigade_6;ISU-152;;;;;;;;;;;;;x
ALG_super_heavy_armor_brigade_7;Post-War Infantry Support Tank Brigade;;;;;;;;;;;;;x
ALG_armor_brigade_4;T-34-85 Model 1943;;;;;;;;;;;;;x
ALG_jet_mr_5;Mikoyan-Gurevich MiG-17 Fresco;;;;;;;;;;;;;x
ALG_jet_int_4;Mikoyan-Gurevich MiG-15 Fagot;;;;;;;;;;;;;x
ALG_jet_bomber_4;Ilyushin Il-28 Beagle;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ARG_tank_destroyer_brigade_1;2pdr Bren Carrier;;;;;;;;;;;;;x
ARG_light_armor_brigade_0;Vickers 6-Ton Tank;;;;;;;;;;;;;x
ARG_armor_brigade_2;ÈKD LT vz.38;;;;;;;;;;;;;x
ARG_armor_brigade_4;D.L.43 Nahuel;;;;;;;;;;;;;x
ARG_armor_brigade_5;M4A4 Medium Tank Sherman;;;;;;;;;;;;;x
ARG_armor_brigade_6;Late-War Medium Tank Brigade;;;;;;;;;;;;;x
ARG_armor_brigade_7;Post-War Medium Tank Brigade;;;;;;;;;;;;;x
ARG_multi_role_6;FMA I.Ae. 30 Nancú;;;;;;;;;;;;;x
ARG_interceptor_0;Curtiss Hawk III;;;;;;;;;;;;;x
ARG_interceptor_2;Curtiss P-36 Hawk 75;;;;;;;;;;;;;x
ARG_interceptor_4;Fiat G.55 Centauro;;;;;;;;;;;;;x
ARG_jet_int_1;Gloster Meteor;;;;;;;;;;;;;x
ARG_jet_int_3;FMA I.Ae.27 Pulqui I;;;;;;;;;;;;;x
ARG_jet_int_4;North American F-86 Sabre;;;;;;;;;;;;;x
ARG_jet_int_5;FMA I.Ae.33 Pulqui II;;;;;;;;;;;;;x
ARG_strategic_bomber_4;Avro 683 Lancaster;;;;;;;;;;;;;x
ARG_strategic_bomber_5;Avro 694 Lincoln;;;;;;;;;;;;;x
ARG_strategic_bomber_14;Escorted Avro 683 Lancaster;;;;;;;;;;;;;x
ARG_strategic_bomber_15;Escorted Avro 694 Lincoln;;;;;;;;;;;;;x
ARG_tactical_bomber_0;Martin Model 139 WAA;;;;;;;;;;;;;x
ARG_tactical_bomber_10;Curtiss Hawk III / Martin Model 139 WAA;;;;;;;;;;;;;x
ARG_jet_bomber_1;English Electric Canberra;;;;;;;;;;;;;x
ARG_naval_bomber_0;Supermarine Southampton;;;;;;;;;;;;;x
ARG_naval_bomber_1;Consolidated PBY Catalina;;;;;;;;;;;;;x
ARG_naval_bomber_3;Martin PBM Mariner;;;;;;;;;;;;;x
ARG_naval_bomber_5;Lockheed P2V Neptune;;;;;;;;;;;;;x
ARG_naval_bomber_10;Curtiss BF2C Hawk III / Supermarine Southampton;;;;;;;;;;;;;x
ARG_naval_bomber_11;Escorted Consolidated PBY Catalina;;;;;;;;;;;;;x
ARG_naval_bomber_13;Escorted Martin PBM Mariner;;;;;;;;;;;;;x
ARG_naval_bomber_15;Escorted Lockheed P2V Neptune;;;;;;;;;;;;;x
ARG_cas_0;Breguet Br.19;;;;;;;;;;;;;x
ARG_cas_1;FMA AeMB.2 Bombi;;;;;;;;;;;;;x
ARG_cas_2;Northrop A-17 Nomad;;;;;;;;;;;;;x
ARG_cas_3;Basic Light Bomber;;;;;;;;;;;;;x
ARG_cas_4;Early-War Light Bomber;;;;;;;;;;;;;x
ARG_cas_5;Mid-War Light Bomber;;;;;;;;;;;;;x
ARG_cas_6;Late-War Light Bomber;;;;;;;;;;;;;x
ARG_cas_7;FMA I.Ae.24 Calquin;;;;;;;;;;;;;x
ARG_transport_plane_1;Junkers Ju 52 Tante Ju;;;;;;;;;;;;;x
ARG_transport_plane_3;Douglas C-47 Dakota;;;;;;;;;;;;;x
ARG_transport_plane_4;Douglas C-54 Skymaster;;;;;;;;;;;;;x
ARG_transport_plane_11;Escorted Junkers Ju 52 Tante Ju;;;;;;;;;;;;;x
ARG_transport_plane_13;Escorted Douglas C-47 Dakota;;;;;;;;;;;;;x
ARG_transport_plane_14;Escorted Douglas C-54 Skymaster;;;;;;;;;;;;;x
ARG_cag_0;Curtiss F6C Hawk / Martin BM / Martin T4M;;;;;;;;;;;;;x
ARG_cag_1;Grumman F3F / Great Lakes BG / Curtiss BF2C Goshawk;;;;;;;;;;;;;x
ARG_cag_2;F2A Buffalo / SB2U Vindicator / TBD Devastator;;;;;;;;;;;;;x
ARG_cag_3;F4F Wildcat / TBF Avenger / SB2A Buccaneer;;;;;;;;;;;;;x
ARG_cag_4;F4U Corsair / TBF Avenger / SB2C Helldiver;;;;;;;;;;;;;x
ARG_cag_5;F8F Bearcat / BTD Destroyer / AM Mauler;;;;;;;;;;;;;x
ARG_cag_6;FH Phantom / A-1 Skyraider / AF Guardian;;;;;;;;;;;;;x
ARG_cag_7;F2H Banshee / A-3 Skywarrior / A-4 Skyhawk;;;;;;;;;;;;;x
ARG_destroyer_0;Catamarca-class;;;;;;;;;;;;;x
ARG_destroyer_4;Cervantes-class;;;;;;;;;;;;;x
ARG_destroyer_5;Mendoza-class;;;;;;;;;;;;;x
ARG_destroyer_8;Buenos Aires-class (DD);;;;;;;;;;;;;x
ARG_destroyer_9;Espora-class;;;;;;;;;;;;;x
ARG_destroyer_10;Segui-class;;;;;;;;;;;;;x
ARG_light_cruiser_0;Buenos Aires-class (C);;;;;;;;;;;;;x
ARG_light_cruiser_7;General Belgrano-class;;;;;;;;;;;;;x
ARG_light_cruiser_8;La Argentina-class;;;;;;;;;;;;;x
ARG_heavy_cruiser_0;Libertad-class;;;;;;;;;;;;;x
ARG_heavy_cruiser_1;Giuseppe Garibaldi-class;;;;;;;;;;;;;x
ARG_heavy_cruiser_2;Great War Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_3;Post-Great War Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_4;Pre-Treaty Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_5;Early-Treaty Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_6;Almirante Brown-class;;;;;;;;;;;;;x
ARG_heavy_cruiser_7;Improved Treaty Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_8;Late-Treaty Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_9;Post-Treaty Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_10;Early-War Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_11;Late-War Heavy Cruiser;;;;;;;;;;;;;x
ARG_heavy_cruiser_12;Post-War Heavy Cruiser;;;;;;;;;;;;;x
ARG_battleship_0;Rivadavia-class;;;;;;;;;;;;;x
ARG_escort_carrier_10;Independencia-class;;;;;;;;;;;;;x
ARG_submarine_5;Santa Fe-class;;;;;;;;;;;;;x
ARG_submarine_9;Santiago del Estero-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_0;Early Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_1;Great War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_2;Great War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_3;Great War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_4;Early Interwar Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_5;Mid Interwar Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_6;Late Interwar Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_7;Basic Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_8;Early-War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_9;Mid-War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_10;Late-War Regular Support Brigade;;;;;;;;;;;;;x
AST_horse_towed_support_brigade_11;Post-War Regular Support Brigade;;;;;;;;;;;;;x
AST_tank_destroyer_brigade_1;2pdr Bren Carrier;;;;;;;;;;;;;x
AST_super_heavy_armor_brigade_2;Infantry Tank Mk II Matilda II;;;;;;;;;;;;;x
AST_super_heavy_armor_brigade_5;Infantry Tank Mk IV Churchill VIII;;;;;;;;;;;;;x
AST_super_heavy_armor_brigade_6;Infantry Tank Mk II Matilda Hedgehog;;;;;;;;;;;;;x
AST_super_heavy_armor_brigade_7;Post-War Infantry Support Tank Brigade;;;;;;;;;;;;;x
AST_light_armor_brigade_2;Light Tank Mk VI;;;;;;;;;;;;;x
AST_light_armor_brigade_4;Marmon-Herrington CTLS-4TAC;;;;;;;;;;;;;x
AST_light_armor_brigade_5;Marmon-Herrington CTMS-ITBI;;;;;;;;;;;;;x
AST_light_armor_brigade_6;M3A1 Light Tank Grant;;;;;;;;;;;;;x
AST_light_armor_brigade_7;Mid-War Light Tank Brigade;;;;;;;;;;;;;x
AST_light_armor_brigade_8;M24 Light Tank Chaffee;;;;;;;;;;;;;x
AST_light_armor_brigade_9;Post-War Light Tank Brigade;;;;;;;;;;;;;x
AST_armor_brigade_0;Vickers Medium Tank Mk II;;;;;;;;;;;;;x
AST_armor_brigade_3;Cruiser Tank Mk VI Crusader I;;;;;;;;;;;;;x
AST_armor_brigade_4;Cruiser Tank Mk VI Crusader II;;;;;;;;;;;;;x
AST_armor_brigade_5;Cruiser Tank AC I Sentinel;;;;;;;;;;;;;x
AST_armor_brigade_6;Cruiser Tank AC IV;;;;;;;;;;;;;x
AST_armor_brigade_7;Cruiser Tank AC III Thunderbolt;;;;;;;;;;;;;x
AST_armor_brigade_8;Cruiser Tank Mk X Centurion;;;;;;;;;;;;;x
AST_multi_role_2;Lockheed P-38 Lightning;;;;;;;;;;;;;x
AST_multi_role_3;Bristol Type 156 DAP Beaufighter;;;;;;;;;;;;;x
AST_multi_role_4;de Havilland Australia DHA.98 Mosquito Mk 40;;;;;;;;;;;;;x
AST_jet_mr_1;de Havilland Australia DHA.100 Vampire FB.30;;;;;;;;;;;;;x
AST_jet_mr_5;CAC CA-23;;;;;;;;;;;;;x
AST_interceptor_0;Australian Demon;;;;;;;;;;;;;x
AST_interceptor_1;Hawker Hurricane;;;;;;;;;;;;;x
AST_interceptor_2;Boulton Paul P.82 Defiant;;;;;;;;;;;;;x
AST_interceptor_3;Curtiss P-40 Tomahawk;;;;;;;;;;;;;x
AST_interceptor_4;Bell P-39 Airacobra;;;;;;;;;;;;;x
AST_interceptor_5;Supermarine Spitfire Mk V;;;;;;;;;;;;;x
AST_interceptor_6;CAC CA-18 Mustang;;;;;;;;;;;;;x
AST_interceptor_7;Supermarine Spitfire Mk XVI;;;;;;;;;;;;;x
AST_interceptor_8;CAC CA-12 Boomerang;;;;;;;;;;;;;x
AST_interceptor_9;CAC CA-15 Kangaroo;;;;;;;;;;;;;x
AST_interceptor_10;Post-War Light Fighter;;;;;;;;;;;;;x
AST_jet_int_1;Gloster Meteor;;;;;;;;;;;;;x
AST_jet_int_3;CAC CA-24;;;;;;;;;;;;;x
AST_jet_int_4;CAC CA-27 Sabre;;;;;;;;;;;;;x
AST_strategic_bomber_2;Handley Page HP.61 Halifax;;;;;;;;;;;;;x
AST_strategic_bomber_3;Consolidated B-24 Liberator;;;;;;;;;;;;;x
AST_strategic_bomber_4;Avro 683 Lancaster;;;;;;;;;;;;;x
AST_strategic_bomber_12;Lockheed P-38 Lightning / Handley Page HP.61 Halifax;;;;;;;;;;;;;x
AST_strategic_bomber_13;CAC CA-18 Mustang / Consolidated B-24 Liberator;;;;;;;;;;;;;x
AST_strategic_bomber_14;de Havilland Australia DHA.98 Mosquito Mk 40 / Avro 683 Lancaster;;;;;;;;;;;;;x
AST_tactical_bomber_2;Handley Page HP.52 Hampden;;;;;;;;;;;;;x
AST_tactical_bomber_3;Vickers Type 290 Wellington;;;;;;;;;;;;;x
AST_tactical_bomber_4;Douglas DB-7 Boston III;;;;;;;;;;;;;x
AST_tactical_bomber_5;North American B-25 Mitchell;;;;;;;;;;;;;x
AST_tactical_bomber_6;Martin B-26 Marauder;;;;;;;;;;;;;x
AST_tactical_bomber_7;Mid-War Medium Bomber;;;;;;;;;;;;;x
AST_tactical_bomber_8;Late-War Medium Bomber;;;;;;;;;;;;;x
AST_tactical_bomber_9;Post-War Medium Bomber;;;;;;;;;;;;;x
AST_tactical_bomber_12;Lockheed P-38 Lightning / Handley Page HP.52 Hampden;;;;;;;;;;;;;x
AST_tactical_bomber_13;CAC CA-18 Mustang / Vickers Type 290 Wellington;;;;;;;;;;;;;x
AST_tactical_bomber_14;CAC CA-18 Mustang / Douglas DB-7 Boston III;;;;;;;;;;;;;x
AST_tactical_bomber_15;CAC CA-18 Mustang / North American B-25 Mitchell;;;;;;;;;;;;;x
AST_tactical_bomber_16;CAC CA-18 Mustang / Martin B-26 Marauder;;;;;;;;;;;;;x
AST_tactical_bomber_17;Escorted Mid-War Medium Bomber;;;;;;;;;;;;;x
AST_tactical_bomber_18;Escorted Late-War Medium Bomber;;;;;;;;;;;;;x
AST_tactical_bomber_19;Escorted Post-War Medium Bomber;;;;;;;;;;;;;x
AST_jet_bomber_1;English Electric Canberra;;;;;;;;;;;;;x
AST_cas_0;Westland Wapiti;;;;;;;;;;;;;x
AST_cas_1;Fairey Battle;;;;;;;;;;;;;x
AST_cas_2;Bristol Type 142 Blenheim Mk IV;;;;;;;;;;;;;x
AST_cas_3;CAC CA-8 Wirraway;;;;;;;;;;;;;x
AST_cas_4;Vultee Vengeance;;;;;;;;;;;;;x
AST_cas_5;Martin 187 Baltimore;;;;;;;;;;;;;x
AST_cas_6;CAC CA-11 Woomera;;;;;;;;;;;;;x
AST_cas_7;Late-War Light Bomber;;;;;;;;;;;;;x
AST_cas_8;Post-War Light Bomber;;;;;;;;;;;;;x
AST_naval_bomber_0;Supermarine Southampton;;;;;;;;;;;;;x
AST_naval_bomber_1;Consolidated PBY Catalina;;;;;;;;;;;;;x
AST_naval_bomber_2;Lockheed Hudson;;;;;;;;;;;;;x
AST_naval_bomber_3;Short S.25 Sunderland;;;;;;;;;;;;;x
AST_naval_bomber_4;Bristol Type 152 DAP Beaufort;;;;;;;;;;;;;x
AST_naval_bomber_5;Martin PBM Mariner;;;;;;;;;;;;;x
AST_naval_bomber_6;Lockheed PV-1 Ventura;;;;;;;;;;;;;x
AST_naval_bomber_7;Mid-War Patrol Bomber;;;;;;;;;;;;;x
AST_naval_bomber_8;Lockheed P2V Neptune;;;;;;;;;;;;;x
AST_naval_bomber_9;Post-War Patrol Bomber;;;;;;;;;;;;;x
AST_naval_bomber_10;Australian Demon / Supermarine Southampton;;;;;;;;;;;;;x
AST_naval_bomber_11;Escorted Consolidated PBY Catalina;;;;;;;;;;;;;x
AST_naval_bomber_12;Lockheed P-38 Lightning / Lockheed Hudson;;;;;;;;;;;;;x
AST_naval_bomber_13;Lockheed P-38 Lightning / Short S.25 Sunderland;;;;;;;;;;;;;x
AST_naval_bomber_14;Lockheed P-38 Lightning / Bristol Type 152 DAP Beaufort;;;;;;;;;;;;;x
AST_naval_bomber_15;CAC CA-18 Mustang / Martin PBM Mariner;;;;;;;;;;;;;x
AST_naval_bomber_16;CAC CA-18 Mustang / Lockheed PV-1 Ventura;;;;;;;;;;;;;x
AST_naval_bomber_17;Escorted Mid-War Patrol Bomber;;;;;;;;;;;;;x
AST_naval_bomber_18;de Havilland Australia DHA.103 Hornet / Lockheed P2V Neptune;;;;;;;;;;;;;x
AST_naval_bomber_19;Escorted Post-War Patrol Bomber;;;;;;;;;;;;;x
AST_transport_plane_0;de Havilland Australia DHA.89 Dragon Rapide;;;;;;;;;;;;;x
AST_transport_plane_1;Avro 652 Anson;;;;;;;;;;;;;x
AST_transport_plane_2;Lockheed C-56 Lodestar;;;;;;;;;;;;;x
